Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,922.700012,922.700012,907.500000,909.750000,904.174133,4321686
2018-01-02,913.000000,919.549988,906.400024,911.150024,905.565552,4342815
2018-01-03,925.000000,926.000000,913.049988,914.799988,909.193176,6175312
2018-01-04,918.150024,921.799988,915.700012,920.299988,914.659424,4118581
2018-01-05,921.799988,926.900024,920.250000,923.250000,917.591370,3401905
2018-01-08,926.099976,931.000000,923.500000,928.549988,922.858887,4035417
2018-01-09,928.150024,943.900024,924.000000,940.950012,935.182922,6534997
2018-01-10,943.000000,947.400024,935.500000,942.349976,936.574280,5361502
2018-01-11,941.799988,942.650024,935.000000,937.750000,932.002502,3588377
2018-01-12,943.000000,952.799988,938.250000,949.000000,943.183533,6890028
2018-01-15,950.000000,958.500000,945.200012,949.150024,943.332642,5084113
2018-01-16,947.700012,947.700012,920.000000,922.950012,917.293213,4948895
2018-01-17,926.000000,929.000000,907.000000,924.500000,918.833740,6036432
2018-01-18,929.000000,929.599976,915.099976,919.700012,914.063171,4289053
2018-01-19,923.000000,934.400024,922.099976,931.299988,925.592041,4559564
2018-01-22,948.000000,974.299988,940.000000,971.500000,965.545654,20892838
2018-01-23,975.000000,990.950012,975.000000,983.250000,977.223633,10298500
2018-01-24,981.750000,981.750000,962.650024,966.349976,960.427185,6532672
2018-01-25,967.900024,972.000000,956.150024,965.900024,959.979980,6249419
2018-01-29,966.200012,977.299988,959.299988,964.500000,958.588562,4524605
2018-01-30,965.799988,965.799988,949.000000,950.400024,944.575012,4198139
2018-01-31,950.000000,964.500000,941.549988,961.299988,955.408142,5738209
2018-02-01,963.250000,972.599976,936.599976,943.849976,938.065125,7554587
2018-02-02,935.000000,943.950012,901.000000,904.349976,898.807190,13242095
2018-02-05,894.000000,912.500000,881.799988,902.150024,896.620728,8773525
2018-02-06,877.000000,898.000000,871.000000,892.099976,886.632263,11000567
2018-02-07,902.549988,905.400024,890.000000,894.400024,888.918213,7100838
2018-02-08,897.900024,910.650024,892.349976,904.549988,899.005981,6320734
2018-02-09,889.000000,902.000000,886.000000,897.849976,892.347046,5294279
2018-02-12,903.000000,918.200012,902.049988,915.500000,909.888855,5429792
2018-02-14,923.000000,942.500000,921.000000,933.650024,927.927673,10170959
2018-02-15,937.650024,945.750000,928.150024,935.650024,929.915405,6109454
2018-02-16,939.599976,942.599976,918.099976,921.299988,915.653320,4401672
2018-02-19,921.000000,932.000000,913.549988,927.000000,921.318420,4087936
2018-02-20,929.000000,929.549988,918.799988,921.099976,915.454529,3866919
2018-02-21,930.000000,932.500000,922.150024,929.349976,923.653992,5448230
2018-02-22,922.000000,931.000000,920.000000,924.349976,918.684631,5118850
2018-02-23,925.400024,938.000000,922.750000,934.250000,928.523987,4850839
2018-02-26,939.000000,944.900024,936.599976,938.700012,932.946716,3856478
2018-02-27,939.000000,955.799988,938.349976,950.500000,944.674377,6410097
2018-02-28,945.950012,957.099976,943.200012,954.549988,948.699524,25898694
2018-03-01,949.750000,959.900024,945.950012,948.400024,942.587280,4094652
2018-03-05,943.000000,950.150024,921.599976,924.099976,918.436157,5634893
2018-03-06,929.000000,936.200012,905.099976,910.849976,905.267334,7323680
2018-03-07,909.250000,909.250000,888.049988,889.750000,884.296692,7247708
2018-03-08,897.650024,914.500000,893.299988,911.450012,905.863708,6072983
2018-03-09,914.900024,919.349976,911.049988,913.099976,907.503540,4863577
2018-03-12,920.000000,933.099976,917.549988,930.299988,924.598145,3801407
2018-03-13,931.900024,936.000000,921.349976,931.849976,926.138672,5096825
2018-03-14,928.799988,932.049988,919.200012,929.049988,923.355835,6731530
2018-03-15,925.000000,929.450012,910.000000,911.799988,906.211548,5811424
2018-03-16,909.000000,909.700012,886.049988,900.049988,894.533569,14087564
2018-03-19,901.000000,906.900024,892.000000,895.500000,890.011475,5774392
2018-03-20,893.299988,904.000000,887.049988,889.799988,884.346375,6945721
2018-03-21,894.849976,902.349976,893.299988,896.900024,891.402893,6727261
2018-03-22,896.000000,911.950012,895.750000,908.150024,902.583923,10116965
2018-03-23,890.599976,900.000000,889.099976,893.900024,888.421265,10729694
2018-03-26,893.950012,904.299988,892.500000,901.099976,895.577087,6047262
2018-03-27,907.200012,910.750000,897.000000,899.799988,894.285095,6939577
2018-03-28,895.799988,895.849976,880.000000,882.700012,877.289917,8759586
2018-04-02,893.000000,900.950012,886.500000,892.950012,887.477112,5712065
2018-04-03,891.000000,901.700012,885.250000,899.549988,894.036621,6364728
2018-04-04,904.700012,911.799988,892.049988,894.900024,889.415161,6498407
2018-04-05,905.099976,910.000000,903.500000,908.200012,902.633606,3898676
2018-04-06,908.000000,918.500000,905.000000,911.000000,905.416443,4418462
2018-04-09,912.549988,919.000000,912.549988,916.000000,910.385803,3572251
2018-04-10,918.400024,923.900024,914.150024,917.049988,911.429382,3865402
2018-04-11,921.799988,932.750000,916.049988,930.849976,925.144775,6007539
2018-04-12,929.849976,936.650024,924.200012,928.700012,923.007996,4947725
2018-04-13,932.700012,941.700012,928.700012,938.849976,933.095764,5767984
2018-04-16,934.450012,940.000000,928.500000,937.049988,931.306763,4084450
2018-04-17,940.000000,947.200012,936.000000,944.250000,938.462646,4388713
2018-04-18,945.250000,948.200012,935.049988,938.000000,932.250977,3365196
2018-04-19,939.099976,945.000000,935.000000,942.299988,936.524597,4481413
2018-04-20,938.000000,941.849976,921.200012,927.900024,922.212891,3349519
2018-04-23,930.000000,944.349976,928.500000,936.000000,930.263245,3508515
2018-04-24,935.799988,975.700012,935.000000,970.049988,964.104553,9107264
2018-04-25,973.650024,981.799988,963.549988,970.500000,964.551758,6436620
2018-04-26,973.000000,988.000000,962.250000,975.349976,969.372009,15588001
2018-04-27,989.799988,1011.000000,985.500000,996.299988,990.193665,11666267
2018-04-30,982.000000,992.599976,960.000000,963.299988,957.395874,8871802
2018-05-02,967.000000,979.200012,965.049988,972.700012,966.738281,6117761
2018-05-03,977.900024,977.900024,959.250000,961.599976,955.706299,3947546
2018-05-04,962.849976,964.700012,950.000000,953.950012,948.103210,3795692
2018-05-07,958.849976,973.250000,956.349976,971.000000,965.048706,3512532
2018-05-08,977.500000,982.000000,965.200012,967.099976,961.172607,4934036
2018-05-09,965.900024,984.299988,962.250000,976.700012,970.713806,4494423
2018-05-10,980.000000,984.599976,974.250000,981.150024,975.136536,4014645
2018-05-11,981.250000,991.299988,977.750000,989.250000,983.186890,4011516
2018-05-14,991.950012,991.950012,976.700012,986.599976,980.553101,2579561
2018-05-15,983.049988,1000.000000,976.650024,978.950012,972.950012,4800923
2018-05-16,974.000000,974.000000,952.450012,956.150024,950.289734,8613363
2018-05-17,959.349976,960.000000,941.500000,945.349976,939.555908,4733477
2018-05-18,945.599976,953.500000,932.000000,933.849976,928.126404,5230037
2018-05-21,930.750000,935.700012,922.099976,931.349976,925.641724,6624893
2018-05-22,933.150024,934.000000,925.000000,926.750000,921.069946,5170585
2018-05-23,926.000000,926.000000,909.150024,912.250000,906.658813,4567562
