Date,Open,High,Low,Close,Adj Close,Volume
2018-04-03,1450.000000,1463.569946,1446.500000,1454.050049,1433.064453,68598
2018-04-04,1461.500000,1466.650024,1445.969971,1453.530029,1432.552002,75234
2018-04-05,1457.780029,1481.000000,1457.780029,1478.569946,1457.230469,130186
2018-04-06,1470.500000,1480.680054,1463.500000,1474.849976,1453.564331,42414
2018-04-09,1475.000000,1481.500000,1457.500000,1460.569946,1439.490356,46454
2018-04-10,1469.500000,1477.930054,1462.550049,1465.930054,1444.773071,59978
2018-04-11,1475.000000,1513.449951,1473.599976,1507.750000,1485.989502,184910
2018-04-12,1507.750000,1575.000000,1505.069946,1568.650024,1546.010620,1843550
2018-04-13,1574.500000,1619.000000,1565.550049,1575.500000,1552.761597,283872
2018-04-16,1566.000000,1599.500000,1554.030029,1592.400024,1569.417725,235726
2018-04-17,1595.000000,1595.000000,1574.650024,1582.949951,1560.104126,92720
2018-04-18,1586.469971,1594.900024,1573.650024,1579.750000,1556.950439,104790
2018-04-19,1587.500000,1607.500000,1583.150024,1595.319946,1572.295654,204144
2018-04-20,1625.099976,1710.619995,1622.500000,1703.199951,1678.618652,1543910
2018-04-23,1714.500000,1778.500000,1700.000000,1707.599976,1682.955078,1011632
2018-04-24,1706.469971,1721.750000,1672.949951,1692.819946,1668.388306,390992
2018-04-25,1692.500000,1740.750000,1683.000000,1733.949951,1708.924683,443866
2018-04-26,1735.500000,1780.000000,1734.500000,1770.180054,1744.632080,301996
2018-04-27,1770.000000,1771.569946,1724.650024,1727.400024,1702.469482,214912
2018-04-30,1727.500000,1773.500000,1719.099976,1765.699951,1740.216553,184786
2018-05-02,1766.500000,1780.000000,1737.800049,1748.900024,1723.659180,129712
2018-05-03,1751.000000,1763.930054,1737.500000,1741.319946,1716.188477,145044
2018-05-04,1741.000000,1752.000000,1735.650024,1740.430054,1715.311401,93992
2018-05-07,1741.119995,1745.000000,1710.050049,1713.849976,1689.114868,126844
2018-05-08,1716.000000,1743.969971,1699.430054,1720.530029,1695.698608,202564
2018-05-09,1724.500000,1747.219971,1721.500000,1744.530029,1719.352051,99586
2018-05-10,1745.500000,1754.719971,1723.000000,1726.380005,1701.464111,123642
2018-05-11,1727.500000,1743.750000,1723.199951,1730.300049,1705.327515,70336
2018-05-14,1732.000000,1739.930054,1708.000000,1718.380005,1693.579590,603792
2018-05-15,1727.000000,1747.250000,1718.449951,1741.219971,1716.089966,79148
2018-05-16,1740.000000,1754.969971,1737.500000,1747.780029,1722.555176,58254
2018-05-17,1757.930054,1764.900024,1737.500000,1746.349976,1721.145874,96268
2018-05-18,1744.930054,1759.000000,1731.250000,1751.180054,1725.906128,52170
2018-05-21,1760.000000,1795.930054,1755.000000,1778.969971,1753.295044,136672
2018-05-22,1779.000000,1787.500000,1747.500000,1754.030029,1728.715088,103528
2018-05-23,1764.000000,1772.469971,1741.400024,1748.530029,1723.294434,90694
2018-05-24,1750.000000,1807.500000,1750.000000,1802.400024,1776.386963,192390
2018-05-25,1809.500000,1837.000000,1786.400024,1794.719971,1768.817749,169150
2018-05-28,1800.550049,1809.000000,1744.000000,1751.900024,1726.615845,263160
2018-05-29,1756.000000,1774.750000,1745.550049,1761.349976,1735.929443,205762
2018-05-30,1760.000000,1766.250000,1742.300049,1758.880005,1733.494995,154570
2018-05-31,1742.300049,1758.699951,1726.099976,1744.800049,1733.912476,156722
2018-06-01,1758.000000,1760.000000,1719.000000,1732.250000,1721.440674,117215
2018-06-04,1751.699951,1752.000000,1712.900024,1744.550049,1733.663940,242609
2018-06-05,1745.000000,1752.599976,1713.449951,1721.199951,1710.459595,104701
2018-06-06,1724.699951,1735.300049,1716.300049,1727.250000,1716.471924,383083
2018-06-07,1725.400024,1748.500000,1725.400024,1734.599976,1723.776001,118908
2018-06-08,1736.000000,1757.500000,1736.000000,1748.199951,1737.291138,402906
2018-06-11,1747.000000,1763.449951,1742.800049,1750.599976,1739.676147,58160
2018-06-12,1756.000000,1784.949951,1753.500000,1781.000000,1769.886475,152861
2018-06-13,1815.000000,1832.000000,1800.000000,1824.199951,1812.816895,353957
2018-06-14,1839.000000,1840.000000,1785.000000,1792.250000,1781.066284,313381
2018-06-15,1801.000000,1849.000000,1791.000000,1841.449951,1829.959229,765529
2018-06-18,1869.000000,1870.699951,1825.500000,1830.699951,1819.276367,522045
2018-06-19,1822.650024,1839.599976,1822.000000,1825.849976,1814.456665,721683
2018-06-20,1833.000000,1836.599976,1823.000000,1826.300049,1814.903931,204010
2018-06-21,1830.000000,1834.000000,1818.000000,1819.849976,1808.494019,184984
2018-06-22,1828.800049,1829.000000,1803.250000,1811.800049,1800.494263,200191
2018-06-25,1812.000000,1824.000000,1809.000000,1820.449951,1809.090210,215085
2018-06-26,1821.000000,1862.000000,1821.000000,1852.699951,1841.139038,1065791
2018-06-27,1859.800049,1886.199951,1852.000000,1859.800049,1848.194824,474432
2018-06-28,1865.000000,1872.000000,1830.150024,1847.300049,1835.772827,333642
2018-06-29,1846.000000,1868.000000,1843.000000,1847.199951,1835.673218,229631
2018-07-02,1829.949951,1859.949951,1829.949951,1855.599976,1844.020874,151420
2018-07-03,1859.949951,1880.000000,1858.000000,1875.900024,1864.194458,163967
2018-07-04,1879.000000,1880.000000,1860.099976,1869.650024,1857.983276,138775
2018-07-05,1875.199951,1887.000000,1864.000000,1881.699951,1869.958008,110452
2018-07-06,1882.800049,1920.300049,1880.000000,1913.300049,1901.360962,211358
2018-07-09,1927.949951,1930.000000,1882.000000,1887.650024,1875.870972,374551
2018-07-10,1895.199951,1900.000000,1872.599976,1877.000000,1865.287476,433180
2018-07-11,1900.000000,1995.000000,1894.000000,1979.599976,1967.247314,1157363
2018-07-12,1984.000000,1992.000000,1961.500000,1971.000000,1958.700806,602500
2018-07-13,1975.000000,1998.000000,1975.000000,1981.250000,1968.886963,975624
2018-07-16,1985.050049,1996.000000,1978.400024,1988.800049,1976.389771,112080
2018-07-17,1988.000000,2005.449951,1982.000000,1997.849976,1989.384521,117890
2018-07-18,2005.500000,2009.900024,1993.000000,1997.300049,1988.836792,78031
2018-07-19,1999.000000,2009.949951,1970.550049,1981.449951,1973.053833,83227
2018-07-20,1983.050049,2000.000000,1983.000000,1995.949951,1987.492432,62274
2018-07-23,2000.000000,2008.849976,1991.199951,2005.050049,1996.554077,86334
2018-07-24,2009.050049,2012.000000,1987.000000,1996.849976,1988.388672,59826
2018-07-25,2000.150024,2003.000000,1971.000000,1979.400024,1971.012695,91325
2018-07-26,1975.000000,1985.050049,1955.550049,1963.300049,1954.980835,83737
2018-07-27,1965.000000,1966.800049,1940.000000,1943.099976,1934.866455,132170
2018-07-30,1948.550049,1955.300049,1935.000000,1944.949951,1936.708618,96383
2018-07-31,1943.599976,1948.500000,1929.050049,1941.250000,1933.024292,89586
2018-08-01,1951.000000,1980.000000,1950.000000,1975.099976,1966.730835,112747
2018-08-02,1980.699951,1984.599976,1941.000000,1950.650024,1942.384521,105704
2018-08-03,1956.900024,1980.000000,1956.900024,1977.349976,1968.971313,57673
2018-08-06,1998.000000,1998.000000,1971.000000,1976.349976,1967.975464,110668
2018-08-07,1977.000000,1977.050049,1961.000000,1968.099976,1959.760498,78403
2018-08-08,1970.000000,1978.300049,1963.750000,1974.599976,1966.232910,94389
2018-08-09,1985.900024,1985.900024,1966.300049,1974.550049,1966.183228,101982
2018-08-10,1978.050049,1997.050049,1974.000000,1993.849976,1985.401367,140439
2018-08-13,2000.000000,2002.550049,1988.250000,2000.500000,1992.023193,364314
2018-08-14,1992.000000,2024.000000,1983.500000,2001.250000,1992.770020,228939
2018-08-16,2002.000000,2019.000000,1996.000000,2008.750000,2000.238281,132552
2018-08-17,2014.000000,2021.150024,2005.000000,2011.849976,2003.325073,175463
2018-08-20,2023.500000,2023.500000,2005.250000,2010.400024,2001.881348,69717
2018-08-21,2010.000000,2022.750000,2005.000000,2013.650024,2005.117554,62718
2018-08-23,2020.000000,2038.699951,2020.000000,2035.449951,2026.825073,162256
2018-08-24,2035.099976,2046.050049,2031.000000,2042.199951,2033.546509,90110
2018-08-27,2042.000000,2058.550049,2036.550049,2051.649902,2042.956421,102741
2018-08-28,2052.750000,2072.000000,2051.649902,2065.550049,2056.797607,167682
2018-08-29,2072.899902,2072.899902,2046.099976,2065.800049,2057.046631,96894
2018-08-30,2070.000000,2080.199951,2064.399902,2079.449951,2070.638672,187645
2018-08-31,2080.000000,2090.500000,2073.050049,2078.199951,2069.394043,166815
2018-09-03,2080.050049,2089.949951,2052.100098,2054.949951,2046.242554,125871
2018-09-04,2055.000000,2100.000000,2055.000000,2093.199951,2084.330566,318313
2018-09-05,2100.000000,2105.949951,2075.000000,2078.149902,2069.343994,136884
2018-09-06,2080.000000,2081.500000,2063.000000,2075.699951,2066.904541,64300
2018-09-07,2080.000000,2083.949951,2065.550049,2079.699951,2070.887695,49201
2018-09-10,2082.949951,2093.399902,2074.100098,2081.199951,2072.381348,59853
2018-09-11,2084.000000,2089.250000,2042.000000,2045.949951,2037.280640,94049
2018-09-12,2051.000000,2067.800049,2040.000000,2043.750000,2035.089966,162054
2018-09-14,2045.000000,2070.850098,2018.849976,2063.300049,2054.557129,142167
2018-09-17,2070.000000,2077.000000,2054.850098,2071.600098,2062.822021,49469
2018-09-18,2075.000000,2077.300049,2059.000000,2070.000000,2061.228760,44727
2018-09-19,2074.000000,2088.100098,2066.000000,2076.899902,2068.099365,56494
2018-09-21,2078.000000,2130.850098,2052.500000,2103.800049,2094.885742,124436
2018-09-24,2104.000000,2214.149902,2098.300049,2198.699951,2189.383301,299610
2018-09-25,2200.000000,2209.600098,2155.000000,2183.100098,2173.849609,128098
2018-09-26,2183.000000,2197.100098,2135.000000,2141.449951,2132.375977,79677
2018-09-27,2150.000000,2202.000000,2136.600098,2187.800049,2178.529785,121150
2018-09-28,2184.000000,2190.000000,2159.550049,2184.500000,2175.243652,77824
2018-10-01,2186.000000,2273.000000,2186.000000,2255.800049,2246.241455,186123
2018-10-03,2246.100098,2253.850098,2155.000000,2162.449951,2153.287109,151560
2018-10-04,2161.000000,2161.000000,2058.649902,2064.250000,2055.503174,537593
2018-10-05,2059.800049,2119.850098,2024.000000,2103.100098,2094.188721,166182
2018-10-08,2106.500000,2122.899902,2048.000000,2080.100098,2071.285889,102738
2018-10-09,2080.000000,2108.000000,2054.399902,2090.500000,2081.641846,127278
2018-10-10,2110.000000,2110.000000,2030.199951,2043.050049,2034.393066,1935417
2018-10-11,1998.699951,2013.550049,1943.050049,1979.750000,1971.361206,358205
2018-10-12,1990.000000,1990.000000,1904.800049,1918.400024,1910.271118,650422
2018-10-15,1937.000000,1955.000000,1921.699951,1949.150024,1940.890869,174014
2018-10-16,1955.000000,1969.150024,1935.000000,1961.699951,1953.387573,168016
2018-10-17,1974.500000,1988.949951,1920.099976,1927.699951,1919.531616,306638
2018-10-19,1940.000000,1940.000000,1872.199951,1917.050049,1908.927002,123953
2018-10-22,1918.000000,1919.500000,1888.449951,1902.150024,1894.090088,55237
2018-10-23,1890.000000,1896.500000,1836.800049,1844.150024,1840.205566,114276
2018-10-24,1858.000000,1871.800049,1812.000000,1851.500000,1847.539795,172568
2018-10-25,1845.000000,1875.449951,1825.500000,1852.650024,1848.687378,90640
2018-10-26,1857.800049,1858.000000,1791.300049,1799.599976,1795.750732,167785
2018-10-29,1810.000000,1878.000000,1784.000000,1869.750000,1865.750732,140665
